Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,Wanted,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350923acda52.pdf,1,,"WANTED—Wanted to purchase or hire, a
MAN Servant; one acquainted with house
work generally and can come well recommended,
[none other need apply] will hear of a good situation
by applying at this office.	
se 23 d",page 3 2nd column,18350923,,private_dealer,,,MD,House work,,,American Commercial and Daily Advertiser,,,,,,MD
,Negro boy for sale,sell,21,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350929acda53.pdf,1,,"NEGRO BOY FOR SALE-For sale a likely
dining room Servant, about 21 years of age, and
has 19 years to serve. Apply at this office.
se 29 4t*",page 3 2nd column,18350929,,private_dealer,,,MD,dinning room servant,,,American Commercial and Daily Advertiser,,,,,,MD
,Slaves for life for sale,sell,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351020acda54.pdf,1,,"SLAVES FOR LIFE FOR SALE.
A FIRST RATE HOUSE SERVANT,
with a female child about two years old—she is a
good cook, washer and ironer, and understands house
work generally. She is sold for no fault whatever and
can produce testimonials of the best character—her
mistress is about to remove to the country, and she is
unwilling to go, inasmuch as her husband is here. Also for sale, a very likely GI RL, about 7 years old, a
slave for life. They will not be sold to leave the city.
For terms apply to M . Martin at A. Williams, No. 45
Light st.	
oc 6 2a2w",page 4 2nd column,18351006,,private_dealer,BA,,MD,"cook, washer and ironer",,,American Commercial and Daily Advertiser,,,M.,Martin,No. 45 Light Street,MD
,Slaves for life for sale,sell,2,Baltimore,female,,,ERROR (blank),,page 4 2nd column,18351006,,private_dealer,BA,,MD,,,,American Commercial and Daily Advertiser,,,M.,Martin,No. 45 Light Street,MD
,Slaves for life for sale,sell,7,Baltimore,female,,,ERROR (blank),,page 4 2nd column,18351006,,private_dealer,BA,,MD,,,,American Commercial and Daily Advertiser,,,M.,Martin,No. 45 Light Street,MD
,Wanted,buy,,Baltimore,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351022acda55.pdf,2,,"WANTED to hire by the year, to go to the country, two SLAVES, a Man, accustomed to farm
work, and a Woman who is a good plain Cook, for
which liberal wages will be given; a man and wife
would be preferred. The distance from Baltimore is
18 miles on the Liberty road, near Eldersburg—apply
to Mrs. Hollingsworth’s, Franklin st. above Green; or
by letter directed to John Colhoon, Freedom, Baltimore county.
oc 22 2aw4t*",page 3 2nd column,18351022,,private_dealer,,,MD,farm work,,,American Commercial and Daily Advertiser,,BA,Mrs.,Hollingsworth,Liberty Road,MD
,Wanted,buy,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351022acda55.pdf,2,,"WANTED to hire by the year, to go to the country, two SLAVES, a Man, accustomed to farm
work, and a Woman who is a good plain Cook, for
which liberal wages will be given; a man and wife
would be preferred. The distance from Baltimore is
18 miles on the Liberty road, near Eldersburg—apply
to Mrs. Hollingsworth’s, Franklin st. above Green; or
by letter directed to John Colhoon, Freedom, Baltimore county.
oc 22 2aw4t*",page 3 2nd column,18351022,,private_dealer,,,MD,cook,,,American Commercial and Daily Advertiser,,BA,Mrs.,Hollingsworth,Liberty Road,MD
,Wanted to hire,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351028acda56.pdf,1,,"WANTED TO HIRE—by the year—A Slave
colored BOY, who has been accustomed to
writing—for one that will suit liberal wages will bo
given. Apply at this office. 
oc 28 eo4t?",page 3 2nd column,18351028,,private_dealer,,,MD,waiting,,,American Commercial and Daily Advertiser,,,,,,MD
,Negro girl for sale,sell,19,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351125acda57.pdf,1,,"NEGRO GIRL FOR SALE—For sale a negro
Girl, a slave for life, about 19 years of age, sober
and industrious, a good washer and ironer, and fond of
children, will not be sold out of the State. Apply at
this office. 
no 24 4t*",page 1 4th column,18351125,,private_dealer,,,MD,"washing, ironing",,,American Commercial and Daily Advertiser,,,,,,MD
,a valuable house servant for sale,sell,22,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18351224acda58.pdf,1,,"A VALUABLE HOUSE SERVANT for
sale—A gentleman from the country wishes to
sell a Man Servant about 23 or 24 years of age—who
has been from his infancy accustomed to wait in one
of the most respectable families in the State. This
servant is sold for no fault, but entirely to comply with
his own wish to reside in Baltimore. This gentleman
may be seen at Barnum’s Hotel today, between 11
and 1 o’clock, in the forenoon.	
de 24",page3 3rd column,18351224,,private_dealer,,,MD,waiting,,,American Commercial and Daily Advertiser,,,,,,MD
